,time,u10,v10,t2m,dep,tp
6161,2020-04-06,1.010434,1.6686167,285.41714,27,0.020707313
6162,2020-04-07,-2.6373444,-0.47989327,286.31738,27,0.0017827697
6163,2020-04-08,-0.7478289,0.5198395,288.15512,27,0.00014556765
6164,2020-04-09,-1.3764641,0.05931314,288.79938,27,1.4129371e-05
6165,2020-04-10,-2.565078,-0.0383706,289.08414,27,0.0
6166,2020-04-11,-0.66342646,-0.19428279,288.96637,27,0.0010559475
6167,2020-04-12,-0.20148715,0.5727213,289.08438,27,0.00076370075
6168,2020-04-13,-3.6385138,-3.793997,284.00778,27,0.00013398244
6169,2020-04-14,-3.7096086,-2.1080022,280.05902,27,4.000292e-06
6170,2020-04-15,-3.5656204,0.006778736,283.54752,27,0.0
6171,2020-04-16,-0.16377135,1.8346335,287.6125,27,0.007238105
6172,2020-04-17,-0.79780954,1.4045036,288.26947,27,0.030501127
6173,2020-04-18,0.86028653,-0.21474484,287.58194,27,0.05569894
6174,2020-04-19,-2.121218,-2.4234378,285.73233,27,0.0039109914
